Unique,Date,Length,Lake,Location,Gear,Latitude,Longitude,Frequency,Code,Tagger,Blank,6/23/2022,7/11/2022,7/21/2022,8/10/2022,8/23/2022,9/13/2022,9/27/2022,10/26/2022,4/27/2023,6/4/2023,6/23/2023,7/17/2023,8/15/2023,9/22/2023,10/11/2023,Harvest info
1,4/5/2022,555,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,1,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
2,4/5/2022,529,Lower,Camp,H&L,63.1345,-145.9564,150.400,2,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
3,4/5/2022,523,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,3,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
4,4/5/2022,514,Lower,Camp,H&L,63.1345,-145.9564,150.400,4,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
5,4/5/2022,485,Lower,Camp,H&L,63.1345,-145.9564,150.400,5,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
6,4/5/2022,455,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,6,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
7,4/5/2022,450,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,7,Matt,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
8,4/5/2022,440,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,8,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
9,4/5/2022,561,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,9,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
10,4/5/2022,553,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,10,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
11,4/5/2022,547,Lower,Camp,H&L,63.1345,-145.9564,150.400,11,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
12,4/5/2022,479,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,12,Corey,,A_ST,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
13,4/5/2022,451,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,13,Corey,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,AL,
14,4/6/2022,619,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,14,Mostly Bry,,AL,AL,AL,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
15,4/6/2022,577,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,15,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,NFM,NFM,NFM,NFM,NFM,
16,4/6/2022,480,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,16,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
17,4/6/2022,636,Lower,Camp,H&L,63.1345,-145.9564,150.400,17,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_ST,A_LT,A_LT,A_LT,
18,4/6/2022,435,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,18,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
19,4/6/2022,514,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,19,Mostly Bry,,A_LT,A_ST,A_ST,A_ST,A_ST,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,
20,4/6/2022,730,Lower,OH Bay,H&L,63.1399,-145.9575,150.400,20,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
21,4/6/2022,633,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,21,Mostly Bry,,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,
22,4/6/2022,680,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,22,Mostly Bry,,A_ST,A_LT,A_LT,A_LT,A_ST,A_ST,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
23,4/6/2022,512,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,23,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
24,4/6/2022,555,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,24,Mostly Bry,,A_ST,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_ST,A_LT,A_LT,A_LT,A_LT,
25,4/6/2022,557,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,25,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
26,4/6/2022,472,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,26,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,NFM,
27,4/6/2022,500,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,27,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
28,4/6/2022,477,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,28,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
29,4/6/2022,577,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,29,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
30,4/6/2022,492,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,30,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
31,4/7/2022,712,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,31,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,AL,
32,4/6/2022,503,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,32,Mostly Bry,,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,NFM,
33,4/6/2022,680,Lower,Bry Point,H&L,63.1333,-145.9611,150.400,33,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
34,4/6/2022,492,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,34,Mostly Bry,,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,
35,4/6/2022,515,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,35,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
36,4/7/2022,578,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,36,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,AL,
37,4/6/2022,450,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,37,Mostly Bry,,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,
38,4/7/2022,560,Lower,Matt Point,H&L,63.1379,-145.9605,150.400,38,Mostly Bry,,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,A_LT,
