"","from","to","6/23/2022","7/11/2022","7/21/2022","8/10/2022","8/23/2022","9/13/2022","9/27/2022","10/26/2022","4/27/2023","6/4/2023","6/23/2023","7/17/2023","8/15/2023","9/22/2023","10/11/2023"
"1","Lower Tangle","Lower Tangle","32 100% (0%)","31 91% (5%)","34 100% (0%)","34 100% (0%)","33 100% (0%)","33 100% (0%)","32 97% (3%)","33 100% (0%)","33 100% (0%)","32 100% (0%)","31 100% (0%)","30 97% (3%)","30 97% (3%)","27 96% (4%)","18 100% (0%)"
"2","Shallow Tangle","","","3 9% (5%)","","","","","1 3% (3%)","","","","","1 3% (3%)","1 3% (3%)","",""
"3","Round Tangle","","","","","","","","","","","","","","","1 4% (4%)",""
"4","Upper Tangle","","","","","","","","","","","","","","","",""
"5","Glacier Lake","","","","","","","","","","","","","","","",""
"6","At Large","","","","","","","","","","","","","","","",""
"7","Fishing Mort","","","","","","","","","","","","","","","",""
"8","Non-Fishing Mort","","","","","","","","","","","","","","","",""
"9","Lower Tangle","Shallow Tangle","3 12% (7%)","1 8% (8%)","","","1 10% (10%)","","","","","","1 6% (6%)","1 9% (9%)","","",""
"10","Shallow Tangle","","19 79% (8%)","12 92% (8%)","11 100% (0%)","8 89% (11%)","8 80% (13%)","6 75% (16%)","5 83% (17%)","6 60% (16%)","10 100% (0%)","10 62% (12%)","15 83% (9%)","10 91% (9%)","1 100% (NaN%)","","2 67% (33%)"
"11","Round Tangle","","2 8% (6%)","","","1 11% (11%)","1 10% (10%)","2 25% (16%)","1 17% (17%)","4 40% (16%)","","6 38% (12%)","2 11% (8%)","","","4 100% (0%)","1 33% (33%)"
"12","Upper Tangle","","","","","","","","","","","","","","","",""
"13","Glacier Lake","","","","","","","","","","","","","","","",""
"14","At Large","","","","","","","","","","","","","","","",""
"15","Fishing Mort","","","","","","","","","","","","","","","",""
"16","Non-Fishing Mort","","","","","","","","","","","","","","","",""
"17","Lower Tangle","Round Tangle","","","","","","","","","","","","","","",""
"18","Shallow Tangle","","3 12% (7%)","7 23% (8%)","2 6% (4%)","3 9% (5%)","1 3% (3%)","3 10% (5%)","1 3% (3%)","","","","1 6% (6%)","7 30% (10%)","9 28% (8%)","1 4% (4%)","1 5% (5%)"
"19","Round Tangle","","21 88% (7%)","24 77% (8%)","31 94% (4%)","31 91% (5%)","31 97% (3%)","28 90% (5%)","30 97% (3%)","27 100% (0%)","27 100% (0%)","21 100% (0%)","17 94% (6%)","16 70% (10%)","23 72% (8%)","27 96% (4%)","19 95% (5%)"
"20","Upper Tangle","","","","","","","","","","","","","","","",""
"21","Glacier Lake","","","","","","","","","","","","","","","",""
"22","At Large","","","","","","","","","","","","","","","",""
"23","Fishing Mort","","","","","","","","","","","","","","","",""
"24","Non-Fishing Mort","","","","","","","","","","","","","","","",""
"25","Lower Tangle","Upper Tangle","","","","","","","","","","","","","","",""
"26","Shallow Tangle","","","","","","","","","","","","","","","",""
"27","Round Tangle","","","","","","","","","","","","","","","",""
"28","Upper Tangle","","12 100% (0%)","12 100% (0%)","12 100% (0%)","9 100% (0%)","8 100% (0%)","8 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","5 100% (0%)","4 100% (0%)","4 100% (0%)","3 100% (0%)"
"29","Glacier Lake","","","","","","","","","","","","","","","",""
"30","At Large","","","","","","","","","","","","","","","",""
"31","Fishing Mort","","","","","","","","","","","","","","","",""
"32","Non-Fishing Mort","","","","","","","","","","","","","","","",""
"33","Lower Tangle","Glacier Lake","","","","","","","","","","","","","","",""
"34","Shallow Tangle","","","","","","","","","","","","","","","",""
"35","Round Tangle","","","","","","","","","","","","","","","",""
"36","Upper Tangle","","","","","","","","","","","","","","","",""
"37","Glacier Lake","","","","","","","","","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)","2 100% (0%)"
"38","At Large","","","","","","","","2 100% (0%)","","","","","","","",""
"39","Fishing Mort","","","","","","","","","","","","","","","",""
"40","Non-Fishing Mort","","","","","","","","","","","","","","","",""
"41","Lower Tangle","At Large","3 100% (0%)","","","","","","1 14% (14%)","","","1 17% (17%)","","","1 11% (11%)","4 31% (13%)","9 31% (9%)"
"42","Shallow Tangle","","","1 25% (25%)","","","","1 14% (14%)","","","","","","","","","1 3% (3%)"
"43","Round Tangle","","","","","","","1 14% (14%)","","","","","1 17% (17%)","1 14% (14%)","","","5 17% (7%)"
"44","Upper Tangle","","","","","2 40% (24%)","1 20% (20%)","","1 14% (14%)","","","","","1 14% (14%)","1 11% (11%)","","1 3% (3%)"
"45","Glacier Lake","","","","","","","","","","","","","","","",""
"46","At Large","","","3 75% (25%)","4 100% (0%)","3 60% (24%)","4 80% (20%)","5 71% (18%)","5 71% (18%)","5 100% (0%)","5 100% (0%)","5 83% (17%)","5 83% (17%)","5 71% (18%)","7 78% (15%)","9 69% (13%)","13 45% (9%)"
"47","Fishing Mort","","","","","","","","","","","","","","","",""
"48","Non-Fishing Mort","","","","","","","","","","","","","","","",""
"49","Lower Tangle","Fishing Mort","1 100% (NaN%)","","","","","","","","","","","","","",""
"50","Shallow Tangle","","","","","","","","","","","","","","","",""
"51","Round Tangle","","","","","1 33% (33%)","","","","","","","1 20% (20%)","1 14% (14%)","","",""
"52","Upper Tangle","","","","","1 33% (33%)","","","","","","","","1 14% (14%)","","",""
"53","Glacier Lake","","","","","","","","","","","","","","","",""
"54","At Large","","","","","","","","","1 25% (25%)","","","","","","",""
"55","Fishing Mort","","","1 100% (NaN%)","1 100% (NaN%)","1 33% (33%)","3 100% (0%)","3 100% (0%)","3 100% (0%)","3 75% (25%)","4 100% (0%)","4 100% (0%)","4 80% (20%)","5 71% (18%)","7 100% (0%)","7 100% (0%)","7 100% (0%)"
"56","Non-Fishing Mort","","","","","","","","","","","","","","","",""
"57","Lower Tangle","Non-Fishing Mort","1 25% (25%)","","","","","","","","","","","","","","1 6% (6%)"
"58","Shallow Tangle","","","1 20% (20%)","","","","","1 9% (9%)","","","","","","","",""
"59","Round Tangle","","2 50% (29%)","","","","2 22% (15%)","1 10% (10%)","","","","","","","","","3 17% (9%)"
"60","Upper Tangle","","1 25% (25%)","","","","","","","","","","","","","",""
"61","Glacier Lake","","","","","","","","","","","","","","","",""
"62","At Large","","","","","1 17% (17%)","1 11% (11%)","","","1 8% (8%)","","","1 8% (8%)","1 7% (7%)","","",""
"63","Fishing Mort","","","","","","","","","","","","","","","",""
"64","Non-Fishing Mort","","","4 80% (20%)","5 100% (0%)","5 83% (17%)","6 67% (17%)","9 90% (10%)","10 91% (9%)","11 92% (8%)","12 100% (0%)","12 100% (0%)","12 92% (8%)","13 93% (7%)","14 100% (0%)","14 100% (0%)","14 78% (10%)"
