"","from","to","Tagging","6/23/2022","7/11/2022","7/21/2022","8/10/2022","8/23/2022","9/13/2022","9/27/2022","10/26/2022","4/27/2023","6/4/2023","6/23/2023","7/17/2023","8/15/2023","9/22/2023"
"1","Lower Tangle","Lower Tangle","32 80% (6%)","31 97% (3%)","34 100% (0%)","34 100% (0%)","33 97% (3%)","33 100% (0%)","32 97% (3%)","33 100% (0%)","33 100% (0%)","32 97% (3%)","31 97% (3%)","30 97% (3%)","30 97% (3%)","27 87% (6%)","18 64% (9%)"
"2","","Shallow Tangle","3 8% (4%)","1 3% (3%)","","","1 3% (3%)","","","","","","1 3% (3%)","1 3% (3%)","","",""
"3","","Round Tangle","","","","","","","","","","","","","","",""
"4","","Upper Tangle","","","","","","","","","","","","","","",""
"5","","Glacier Lake","","","","","","","","","","","","","","",""
"6","","At Large","3 8% (4%)","","","","","","1 3% (3%)","","","1 3% (3%)","","","1 3% (3%)","4 13% (6%)","9 32% (9%)"
"7","","Fishing Mort","1 2% (2%)","","","","","","","","","","","","","",""
"8","","Non-Fishing Mort","1 2% (2%)","","","","","","","","","","","","","","1 4% (4%)"
"9","Shallow Tangle","Lower Tangle","","3 12% (7%)","","","","","1 12% (12%)","","","","","1 6% (6%)","1 9% (9%)","",""
"10","","Shallow Tangle","19 86% (7%)","12 50% (10%)","11 85% (10%)","8 73% (14%)","8 89% (11%)","6 60% (16%)","5 62% (18%)","6 100% (0%)","10 100% (0%)","10 100% (0%)","15 94% (6%)","10 56% (12%)","1 9% (9%)","","2 50% (29%)"
"11","","Round Tangle","3 14% (7%)","7 29% (9%)","2 15% (10%)","3 27% (14%)","1 11% (11%)","3 30% (15%)","1 12% (12%)","","","","1 6% (6%)","7 39% (12%)","9 82% (12%)","1 100% (NaN%)","1 25% (25%)"
"12","","Upper Tangle","","","","","","","","","","","","","","",""
"13","","Glacier Lake","","","","","","","","","","","","","","",""
"14","","At Large","","1 4% (4%)","","","","1 10% (10%)","","","","","","","","","1 25% (25%)"
"15","","Fishing Mort","","","","","","","","","","","","","","",""
"16","","Non-Fishing Mort","","1 4% (4%)","","","","","1 12% (12%)","","","","","","","",""
"17","Round Tangle","Lower Tangle","","","","","","","","","","","","","","1 3% (3%)",""
"18","","Shallow Tangle","2 8% (6%)","","","1 3% (3%)","1 3% (3%)","2 6% (4%)","1 3% (3%)","4 13% (6%)","","6 22% (8%)","2 10% (7%)","","","4 12% (6%)","1 4% (4%)"
"19","","Round Tangle","21 84% (7%)","24 100% (0%)","31 100% (0%)","31 94% (4%)","31 91% (5%)","28 88% (6%)","30 97% (3%)","27 87% (6%)","27 100% (0%)","21 78% (8%)","17 81% (9%)","16 89% (8%)","23 100% (0%)","27 84% (7%)","19 68% (9%)"
"20","","Upper Tangle","","","","","","","","","","","","","","",""
"21","","Glacier Lake","","","","","","","","","","","","","","",""
"22","","At Large","","","","","","1 3% (3%)","","","","","1 5% (5%)","1 6% (6%)","","","5 18% (7%)"
"23","","Fishing Mort","","","","1 3% (3%)","","","","","","","1 5% (5%)","1 6% (6%)","","",""
"24","","Non-Fishing Mort","2 8% (6%)","","","","2 6% (4%)","1 3% (3%)","","","","","","","","","3 11% (6%)"
"25","Upper Tangle","Lower Tangle","","","","","","","","","","","","","","",""
"26","","Shallow Tangle","","","","","","","","","","","","","","",""
"27","","Round Tangle","","","","","","","","","","","","","","",""
"28","","Upper Tangle","12 92% (8%)","12 100% (0%)","12 100% (0%)","9 75% (13%)","8 89% (11%)","8 100% (0%)","7 88% (12%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","5 71% (18%)","4 80% (20%)","4 100% (0%)","3 75% (25%)"
"29","","Glacier Lake","","","","","","","","","","","","","","",""
"30","","At Large","","","","2 17% (11%)","1 11% (11%)","","1 12% (12%)","","","","","1 14% (14%)","1 20% (20%)","","1 25% (25%)"
"31","","Fishing Mort","","","","1 8% (8%)","","","","","","","","1 14% (14%)","","",""
"32","","Non-Fishing Mort","1 8% (8%)","","","","","","","","","","","","","",""
